"Hari, Tanggal",Jam,Ruangan,Nama Matakuliah,Status Kuliah,Keterangan
"Selasa, 23 September 2025",07:30-10:00,M308,Manajemen Layanan Teknologi Informasi,Luring,Dosen Hadir
"Selasa, 23 September 2025",13:30-16:00,B502,Metode Penelitian dan Penulisan Ilmiah,Luring,
"Rabu, 24 September 2025",07:30-10:00,B406,Analisis dan Perancangan Sistem Informasi,Luring,
"Rabu, 24 September 2025",11:00-13:00,Lab. De Morgan,Analisis dan Perancangan Sistem Informasi,Luring,Praktikum
"Kamis, 25 September 2025",07:30-10:50,B505,Pemrograman Web Lanjut,Luring,
"Kamis, 25 September 2025",11:00-13:00,Lab. De Morgan,Pemrograman Web Lanjut,Luring,Praktikum
"Kamis, 25 September 2025",13:30-16:00,M403,Sistem Pendukung Keputusan,Luring,
"Jumat, 26 September 2025",07:30-10:00,B403,Manajemen Proyek Sistem Informasi,Luring,
"Senin, 29 September 2025",07:30-10:50,B505,Pemrograman Mobile Lanjut,Luring,
"Senin, 29 September 2025",11:00-13:00,Lab. De Morgan,Pemrograman Mobile Lanjut,Luring,Praktikum
